Getting Data Stream Seconds; Getting Data Stream Milliseconds;Send Data Stream Seconds;Send Data Stream Milliseconds;Difference Stream;
1468115019;195;1468115019;209;13;
1468115019;235;1468115019;248;13;
1468115019;274;1468115019;288;13;
1468115019;314;1468115019;328;14;
1468115019;354;1468115019;369;14;
1468115019;395;1468115019;409;13;
1468115019;435;1468115019;448;13;
1468115019;474;1468115019;488;13;
1468115019;514;1468115019;528;14;
1468115019;554;1468115019;569;14;
1468115019;595;1468115019;609;13;
1468115019;635;1468115019;648;13;
1468115019;674;1468115019;688;13;
1468115019;714;1468115019;728;14;
1468115019;754;1468115019;769;14;
1468115019;795;1468115019;809;13;
1468115019;835;1468115019;848;13;
1468115019;874;1468115019;888;13;
1468115019;914;1468115019;928;14;
1468115019;954;1468115019;969;14;
1468115019;995;1468115020;9;14;
1468115020;35;1468115020;48;13;
1468115020;74;1468115020;88;13;
1468115020;114;1468115020;128;14;
1468115020;154;1468115020;169;14;
1468115020;195;1468115020;209;13;
1468115020;235;1468115020;248;13;
1468115020;274;1468115020;288;13;
1468115020;314;1468115020;328;13;
1468115020;354;1468115020;369;14;
1468115020;395;1468115020;409;13;
1468115020;435;1468115020;448;13;
1468115020;474;1468115020;488;13;
1468115020;514;1468115020;528;14;
1468115020;554;1468115020;569;14;
1468115020;595;1468115020;609;13;
1468115020;635;1468115020;648;13;
1468115020;674;1468115020;688;13;
1468115020;714;1468115020;728;14;
1468115020;754;1468115020;769;14;
1468115020;795;1468115020;809;13;
1468115020;835;1468115020;848;13;
1468115020;874;1468115020;888;13;
1468115020;914;1468115020;928;14;
1468115020;954;1468115020;969;14;
1468115020;995;1468115021;9;14;
1468115021;35;1468115021;48;13;
1468115021;74;1468115021;88;13;
1468115021;114;1468115021;128;14;
1468115021;154;1468115021;169;14;
1468115021;195;1468115021;209;13;
1468115021;235;1468115021;248;13;
1468115021;274;1468115021;288;13;
1468115021;314;1468115021;328;14;
1468115021;354;1468115021;369;14;
1468115021;395;1468115021;409;13;
1468115021;435;1468115021;448;13;
1468115021;474;1468115021;488;13;
1468115021;514;1468115021;528;14;
1468115021;554;1468115021;569;14;
1468115021;595;1468115021;609;13;
1468115021;635;1468115021;648;13;
1468115021;674;1468115021;688;13;
1468115021;714;1468115021;728;14;
1468115021;754;1468115021;769;14;
1468115021;795;1468115021;809;13;
1468115021;835;1468115021;848;13;
1468115021;874;1468115021;888;13;
1468115021;914;1468115021;928;14;
1468115021;954;1468115021;969;14;
1468115021;995;1468115022;9;14;
1468115022;35;1468115022;48;13;
1468115022;74;1468115022;88;13;
1468115022;114;1468115022;128;14;
1468115022;154;1468115022;169;14;
1468115022;195;1468115022;209;13;
1468115022;235;1468115022;248;13;
1468115022;274;1468115022;288;13;
1468115022;314;1468115022;328;14;
1468115022;354;1468115022;369;14;
1468115022;395;1468115022;409;13;
1468115022;435;1468115022;448;13;
1468115022;474;1468115022;488;13;
1468115022;514;1468115022;528;14;
1468115022;554;1468115022;568;13;
1468115022;595;1468115022;608;13;
1468115022;634;1468115022;648;13;
1468115022;674;1468115022;688;13;
1468115022;714;1468115022;728;14;
1468115022;754;1468115022;768;13;
1468115022;794;1468115022;808;13;
1468115022;834;1468115022;848;13;
1468115022;874;1468115022;888;13;
1468115022;914;1468115022;928;14;
1468115022;954;1468115022;969;14;
1468115022;995;1468115023;8;14;
1468115023;34;1468115023;48;13;
1468115023;74;1468115023;88;13;
1468115023;114;1468115023;128;14;
1468115023;154;1468115023;168;13;
1468115023;194;1468115023;208;13;
1468115023;234;1468115023;248;13;
1468115023;274;1468115023;288;13;
1468115023;314;1468115023;328;14;
1468115023;354;1468115023;368;13;
1468115023;394;1468115023;408;13;
1468115023;434;1468115023;448;13;
1468115023;474;1468115023;488;13;
1468115023;514;1468115023;528;14;
1468115023;554;1468115023;568;13;
1468115023;594;1468115023;608;13;
1468115023;634;1468115023;648;13;
1468115023;674;1468115023;688;13;
1468115023;714;1468115023;728;14;
1468115023;754;1468115023;768;13;
1468115023;794;1468115023;808;13;
1468115023;834;1468115023;848;13;
1468115023;874;1468115023;888;13;
1468115023;914;1468115023;928;14;
1468115023;954;1468115023;969;14;
1468115023;995;1468115024;8;14;
1468115024;34;1468115024;48;13;
1468115024;74;1468115024;88;13;
1468115024;114;1468115024;128;14;
1468115024;154;1468115024;168;13;
1468115024;194;1468115024;208;13;
1468115024;234;1468115024;248;13;
1468115024;274;1468115024;288;13;
1468115024;314;1468115024;328;14;
1468115024;354;1468115024;368;13;
1468115024;394;1468115024;408;13;
1468115024;434;1468115024;448;13;
1468115024;474;1468115024;488;13;
1468115024;514;1468115024;528;14;
1468115024;554;1468115024;568;13;
1468115024;594;1468115024;608;13;
1468115024;634;1468115024;648;13;
1468115024;674;1468115024;688;13;
1468115024;714;1468115024;728;14;
1468115024;754;1468115024;768;13;
1468115024;794;1468115024;808;13;
1468115024;834;1468115024;848;13;
1468115024;874;1468115024;888;13;
1468115024;914;1468115024;928;14;
1468115024;954;1468115024;968;13;
1468115024;994;1468115025;9;15;
1468115025;35;1468115025;48;13;
1468115025;74;1468115025;88;13;
1468115025;114;1468115025;128;14;
1468115025;154;1468115025;168;13;
1468115025;194;1468115025;208;13;
1468115025;234;1468115025;248;13;
1468115025;274;1468115025;288;13;
1468115025;314;1468115025;328;14;
1468115025;354;1468115025;368;13;
1468115025;394;1468115025;408;13;
1468115025;434;1468115025;448;13;
1468115025;474;1468115025;488;13;
1468115025;514;1468115025;528;14;
1468115025;554;1468115025;568;13;
1468115025;594;1468115025;608;13;
1468115025;634;1468115025;648;13;
1468115025;674;1468115025;688;13;
1468115025;714;1468115025;728;14;
1468115025;754;1468115025;768;13;
1468115025;794;1468115025;808;13;
1468115025;834;1468115025;848;13;
1468115025;874;1468115025;888;13;
1468115025;914;1468115025;928;14;
1468115025;954;1468115025;968;13;
1468115025;994;1468115026;8;14;
1468115026;34;1468115026;48;13;
1468115026;74;1468115026;88;13;
1468115026;114;1468115026;128;14;
1468115026;154;1468115026;168;13;
1468115026;194;1468115026;208;13;
1468115026;234;1468115026;248;13;
1468115026;274;1468115026;288;13;
1468115026;314;1468115026;328;14;
1468115026;354;1468115026;368;13;
1468115026;394;1468115026;408;13;
1468115026;434;1468115026;448;13;
1468115026;474;1468115026;488;13;
1468115026;514;1468115026;528;14;
1468115026;554;1468115026;568;13;
1468115026;594;1468115026;608;13;
1468115026;634;1468115026;648;13;
1468115026;674;1468115026;688;13;
1468115026;714;1468115026;728;14;
1468115026;754;1468115026;768;13;
1468115026;794;1468115026;808;13;
1468115026;834;1468115026;848;13;
1468115026;874;1468115026;888;13;
1468115026;914;1468115026;928;14;
1468115026;954;1468115026;969;14;
1468115026;995;1468115027;8;14;
1468115027;34;1468115027;48;13;
1468115027;74;1468115027;88;13;
1468115027;114;1468115027;128;14;
1468115027;154;1468115027;168;13;
1468115027;194;1468115027;208;13;
1468115027;234;1468115027;248;13;
1468115027;274;1468115027;288;13;
1468115027;314;1468115027;328;14;
1468115027;354;1468115027;368;13;
1468115027;394;1468115027;409;14;
1468115027;435;1468115027;448;12;
1468115027;474;1468115027;488;13;
1468115027;514;1468115027;528;14;
1468115027;554;1468115027;568;13;
1468115027;594;1468115027;608;13;
1468115027;634;1468115027;648;13;
1468115027;674;1468115027;688;13;
1468115027;714;1468115027;728;14;
1468115027;754;1468115027;769;14;
1468115027;795;1468115027;809;13;
1468115027;835;1468115027;848;13;
1468115027;874;1468115027;888;13;
1468115027;914;1468115027;928;14;
1468115027;954;1468115027;968;13;
1468115027;994;1468115028;8;14;
1468115028;34;1468115028;48;13;
1468115028;74;1468115028;88;13;
1468115028;114;1468115028;128;14;
1468115028;154;1468115028;169;14;
1468115028;195;1468115028;208;13;
1468115028;234;1468115028;248;13;
1468115028;274;1468115028;288;13;
1468115028;314;1468115028;328;14;
1468115028;354;1468115028;368;13;
1468115028;394;1468115028;408;13;
1468115028;434;1468115028;448;13;
1468115028;474;1468115028;488;13;
1468115028;514;1468115028;528;14;
1468115028;554;1468115028;569;14;
1468115028;595;1468115028;608;13;
1468115028;634;1468115028;648;13;
1468115028;674;1468115028;688;13;
1468115028;714;1468115028;728;14;
1468115028;754;1468115028;768;13;
1468115028;794;1468115028;809;14;
1468115028;835;1468115028;848;13;
1468115028;874;1468115028;888;13;
1468115028;914;1468115028;928;14;
1468115028;954;1468115028;969;14;
1468115028;995;1468115029;8;14;
1468115029;34;1468115029;48;13;
1468115029;74;1468115029;88;13;
1468115029;114;1468115029;128;14;
1468115029;154;1468115029;168;13;
1468115029;194;1468115029;208;13;
1468115029;234;1468115029;248;13;
1468115029;274;1468115029;288;13;
1468115029;314;1468115029;328;14;
1468115029;354;1468115029;368;13;
1468115029;394;1468115029;408;13;
1468115029;434;1468115029;448;13;
1468115029;474;1468115029;488;13;
1468115029;514;1468115029;528;14;
1468115029;554;1468115029;569;14;
1468115029;595;1468115029;608;13;
1468115029;634;1468115029;648;13;
1468115029;674;1468115029;688;13;
1468115029;714;1468115029;728;14;
1468115029;754;1468115029;768;13;
1468115029;794;1468115029;809;14;
1468115029;835;1468115029;848;13;
1468115029;874;1468115029;888;13;
1468115029;914;1468115029;928;14;
1468115029;954;1468115029;968;13;
1468115029;994;1468115030;9;15;
1468115030;35;1468115030;48;13;
1468115030;74;1468115030;88;13;
1468115030;114;1468115030;128;14;
1468115030;154;1468115030;169;14;
1468115030;195;1468115030;209;13;
1468115030;235;1468115030;248;13;
1468115030;274;1468115030;288;13;
1468115030;314;1468115030;328;14;
1468115030;354;1468115030;368;13;
1468115030;394;1468115030;408;13;
1468115030;434;1468115030;448;13;
1468115030;474;1468115030;488;13;
1468115030;514;1468115030;528;14;
1468115030;554;1468115030;569;14;
1468115030;595;1468115030;608;13;
1468115030;634;1468115030;648;13;
1468115030;674;1468115030;688;13;
1468115030;714;1468115030;728;14;
1468115030;754;1468115030;768;13;
