Start Read Seconds;Start Read Milliseconds;End Read Seconds;End Read Milliseconds;Difference
1468102563;439;1468102563;441;1
1468102563;441;1468102563;443;1
1468102563;444;1468102563;446;1
1468102563;447;1468102563;449;2
1468102563;449;1468102563;451;1
1468102563;452;1468102563;454;1
1468102563;454;1468102563;456;1
1468102563;457;1468102563;459;1
1468102563;460;1468102563;461;1
1468102563;462;1468102563;464;1
1468102563;465;1468102563;467;1
1468102563;467;1468102563;469;1
1468102563;470;1468102563;472;1
1468102563;472;1468102563;474;1
1468102563;475;1468102563;477;1
1468102563;478;1468102563;479;1
1468102563;480;1468102563;482;1
1468102563;483;1468102563;484;1
1468102563;485;1468102563;487;1
1468102563;488;1468102563;490;1
1468102563;490;1468102563;492;1
1468102563;493;1468102563;495;1
1468102563;496;1468102563;497;1
1468102563;498;1468102563;500;1
1468102563;501;1468102563;503;1
1468102563;503;1468102563;505;1
1468102563;506;1468102563;508;1
1468102563;509;1468102563;510;1
1468102563;511;1468102563;513;1
1468102563;514;1468102563;516;1
1468102563;516;1468102563;518;1
1468102563;519;1468102563;521;1
1468102563;522;1468102563;523;1
1468102563;524;1468102563;526;1
1468102563;527;1468102563;529;1
1468102563;529;1468102563;531;1
1468102563;532;1468102563;534;1
1468102563;535;1468102563;536;1
1468102563;537;1468102563;539;1
1468102563;540;1468102563;541;1
1468102563;542;1468102563;544;1
1468102563;545;1468102563;547;1
1468102563;547;1468102563;549;1
1468102563;550;1468102563;552;1
1468102563;553;1468102563;555;1
1468102563;556;1468102563;558;1
1468102563;558;1468102563;560;1
1468102563;561;1468102563;563;1
1468102563;564;1468102563;565;1
1468102563;566;1468102563;568;1
1468102563;569;1468102563;571;1
1468102563;571;1468102563;573;1
1468102563;574;1468102563;576;1
1468102563;577;1468102563;579;1
1468102563;579;1468102563;581;1
1468102563;582;1468102563;584;1
1468102563;584;1468102563;586;1
1468102563;587;1468102563;589;1
1468102563;590;1468102563;591;1
1468102563;592;1468102563;594;1
1468102563;594;1468102563;596;1
1468102563;597;1468102563;599;1
