Period in ms;Seconds;Milliseconds;
50;1468102262;787;
50;1468102262;837;
50;1468102262;887;
50;1468102262;937;
50;1468102262;987;
50;1468102263;37;
50;1468102263;87;
50;1468102263;137;
50;1468102263;187;
50;1468102263;237;
50;1468102263;287;
50;1468102263;337;
50;1468102263;387;
50;1468102263;437;
50;1468102263;487;
50;1468102263;537;
50;1468102263;587;
50;1468102263;637;
50;1468102263;687;
50;1468102263;737;
50;1468102263;787;
50;1468102263;837;
50;1468102263;887;
50;1468102263;937;
50;1468102263;987;
50;1468102264;37;
50;1468102264;87;
50;1468102264;137;
50;1468102264;187;
50;1468102264;237;
50;1468102264;287;
50;1468102264;337;
50;1468102264;387;
50;1468102264;437;
50;1468102264;487;
50;1468102264;537;
50;1468102264;587;
50;1468102264;637;
50;1468102264;687;
50;1468102264;737;
50;1468102264;787;
50;1468102264;837;
50;1468102264;887;
50;1468102264;937;
50;1468102264;987;
50;1468102265;37;
50;1468102265;87;
50;1468102265;137;
50;1468102265;187;
50;1468102265;237;
50;1468102265;287;
50;1468102265;337;
50;1468102265;387;
50;1468102265;437;
50;1468102265;487;
50;1468102265;537;
50;1468102265;587;
50;1468102265;637;
50;1468102265;687;
50;1468102265;737;
50;1468102265;787;
50;1468102265;837;
50;1468102265;887;
50;1468102265;937;
50;1468102265;987;
50;1468102266;37;
50;1468102266;87;
50;1468102266;137;
50;1468102266;187;
50;1468102266;237;
50;1468102266;287;
50;1468102266;337;
50;1468102266;387;
50;1468102266;437;
50;1468102266;487;
50;1468102266;537;
50;1468102266;587;
50;1468102266;637;
50;1468102266;687;
50;1468102266;737;
50;1468102266;787;
50;1468102266;837;
50;1468102266;887;
50;1468102266;937;
50;1468102266;987;
50;1468102267;37;
50;1468102267;87;
50;1468102267;137;
50;1468102267;187;
50;1468102267;237;
50;1468102267;287;
50;1468102267;337;
50;1468102267;387;
50;1468102267;437;
50;1468102267;487;
50;1468102267;537;
50;1468102267;587;
50;1468102267;637;
50;1468102267;687;
50;1468102267;737;
50;1468102267;787;
50;1468102267;837;
50;1468102267;887;
50;1468102267;937;
50;1468102267;987;
50;1468102268;37;
50;1468102268;87;
50;1468102268;137;
50;1468102268;187;
50;1468102268;237;
50;1468102268;287;
50;1468102268;337;
50;1468102268;387;
50;1468102268;437;
50;1468102268;487;
50;1468102268;537;
50;1468102268;587;
50;1468102268;637;
50;1468102268;687;
50;1468102268;737;
50;1468102268;787;
50;1468102268;837;
50;1468102268;887;
50;1468102268;937;
50;1468102268;987;
50;1468102269;37;
50;1468102269;87;
50;1468102269;137;
50;1468102269;187;
50;1468102269;237;
50;1468102269;287;
50;1468102269;337;
50;1468102269;387;
50;1468102269;437;
50;1468102269;487;
50;1468102269;537;
50;1468102269;587;
50;1468102269;637;
50;1468102269;687;
50;1468102269;737;
50;1468102269;787;
50;1468102269;837;
50;1468102269;887;
50;1468102269;937;
50;1468102269;987;
50;1468102270;37;
50;1468102270;87;
50;1468102270;137;
50;1468102270;187;
50;1468102270;237;
50;1468102270;287;
50;1468102270;337;
50;1468102270;387;
50;1468102270;437;
50;1468102270;487;
50;1468102270;537;
50;1468102270;587;
50;1468102270;637;
50;1468102270;687;
50;1468102270;737;
50;1468102270;787;
50;1468102270;837;
50;1468102270;887;
50;1468102270;937;
50;1468102270;987;
50;1468102271;37;
50;1468102271;87;
50;1468102271;137;
50;1468102271;187;
1468102271;241;
